name,type,description,amenities,best_season,price_tier,cultural_tags,latitude,longitude
Sarangkot,Viewpoint,"A famous hilltop overlooking Pokhara city. Center for paragliding and accessible sunrise views over the Himalayas.","Paragliding|Sunrise View|Viewpoint|Hiking|Local Shops|Restaurants",Oct-May,Medium,Adventure|View|Popular|Sunrise|Hills,28.2443,83.9482
Pumdikot,Cultural Site,"A hilltop site southwest of Pokhara featuring a massive Shiva statue. Offers aerial views of the lake and city.","Spiritual Site|360 Degree View|Viewpoint|Hiking|Road Access|Photography",All Year,Low,Spiritual|View|Landmark|Daytrip,28.1912,83.9345
Chapakot,Village,"A rural village on the western valley edge known for terraced farms. Features trails connecting the hills to Phewa Lake.","Hiking|Local Food|Village Walk|Nature|Viewpoint",All Year,Low,Village|Nature|Hiking|Agriculture,28.2134,83.8956
Bhadaure,Village,"A Gurung village on the edge of the Panchase forest. Known for traditional architecture and mountain agriculture.","Traditional Village|Hiking|Forest Trails|Local Food|Viewpoint",Oct-May,Low,Gurung|Nature|Culture|Remote,28.2456,83.8345
Kaskikot,Village,"A historic hilltop village once serving as a royal seat. Features fort ruins and expansive mountain views.","Historic Site|Viewpoint|Hiking|Local Culture|Nature",All Year,Low,History|View|Heritage|Village,28.2678,83.9123
Ghachok,Village,"A mountain village 20km from Pokhara surrounded by the Annapurna Massif. Known for waterfalls and peaceful atmosphere.","Waterfalls|Hiking|Gurung Culture|Viewpoint|Nature",All Year,Low,Gurung|Nature|Quiet|Village,28.3789,83.9789
Armala Kot,Viewpoint,"A lesser-known ridge viewpoint northeast of Pokhara. Offers views of terraced hillsides and the northern range.","Hiking|Viewpoint|Nature|Quiet|Photography",Oct-May,Low,View|Hiking|Quiet|Hills,28.2890,84.0345
Thulakot,Viewpoint,"A ridge viewpoint overlooking both Begnas and Rupa Lakes. Offers a dual perspective of lakes and Himalayas.","Hiking|Viewpoint|360 Degree View|Nature|Photography",Oct-May,Low,View|Quiet|Nature|Daytrip,28.2123,84.1234
Kalabang,Village,"A village on the southern shores of Phewa Lake. Known for its community homestays and forest hiking trails.","Homestay|Viewpoint|Local Food|Village Walk|Hiking",All Year,Low,Village|View|Homestay|Nature,28.1876,83.9123
Kristi Nachnechaur,Viewpoint,"A hill station south of the city core. Popular for local day trips and panoramic views of the valley floor.","Viewpoint|Road Access|Nature|Photography|Local Tea",Oct-May,Low,View|Quiet|Daytrip|Hills,28.1456,83.9678
Sundari Danda,Village,"A ridge village situated between the two major eastern lakes. A center for organic farming and local agriculture.","Viewpoint|Nature|Local Food|Village Walk|Photography",All Year,Low,Nature|Village|Lakeview|Quiet,28.1890,84.1045
Bhalam,Village,"A settlement on the northern slopes of the valley. Emerging destination for cultural tourism and quiet escapes.","Hiking|Village Walk|Local Food|Nature|Viewpoint",All Year,Low,Village|Nature|Quiet|Hiking,28.2678,84.0123
Maujakot,Village,"A remote Gurung village on the Royal Trek route. Features traditional mid-hill farming and culture.","Homestay|Hiking|Gurung Culture|Nature|Local Food",Oct-May,Low,Gurung|Remote|Culture|Nature,28.2345,84.1567
Phosingkot,Viewpoint,"A quiet hilltop southwest of Pokhara. Ideal for sunrise and sunset viewing away from tourist crowds.","Hiking|Viewpoint|Nature|Quiet|Photography",Oct-May,Low,View|Quiet|Nature|Hills,28.1765,83.8678
Dhikki Danda,Viewpoint,"A small ridge overlooking the eastern valley. Visited for its peaceful atmosphere and mountain vistas.","Viewpoint|Hiking|Nature|Quiet|Local Tea",Oct-May,Low,View|Quiet|Nature|Hills,28.2012,84.1456
Tiger Hill,Viewpoint,"A high point overlooking the Bijayapur river. Offers distinct perspectives of the Machhapuchhre peak.","Hiking|Viewpoint|Nature|Photography|Quiet",Oct-May,Low,View|Nature|Hiking|Quiet,28.2567,84.0456
Karuwa,Village,"A tranquil mountain village known for warm hospitality. Features pristine landscapes and traditional rural life.","Hiking|Nature Walk|Local Food|Photography|Viewpoint",All Year,Low,Nature|Quiet|Culture|Village,28.3890,84.0567
World Peace Pagoda (Anadu Danda),Viewpoint,"The ridge across Phewa Lake housing the World Peace Pagoda. Offers a meditative atmosphere and scenic vistas of the city and Himalayas.","Spiritual Site|Viewpoint|Hiking|Forest Trails|Nature",All Year,Low,Spiritual|Nature|View|Daytrip,28.1990,83.9456
Methlang,Viewpoint,"A western hilltop offering views of the Sarangkot ridge. A quiet alternative for city and mountain observation.","Hiking|Viewpoint|Photography|Nature|Local Tea",Oct-May,Low,View|Nature|Quiet|Daytrip,28.2345,83.9234
Lovely Hill,Viewpoint,"A popular viewpoint near the city center. Provides a full overview of the Pokhara urban area and surrounding hills.","Viewpoint|Photography|Short Walk|Nature|Road Access",All Year,Low,View|Daytrip|Popular|Hills,28.2212,83.9789
Taprang,Village,"A small village in the Madi River valley. A refreshing rest stop on rural trails towards the high hills.","Village Walk|Local Food|Nature|Viewpoint|Hiking",All Year,Low,Village|Gurung|Agriculture|Nature,28.3212,84.0890
Chipli,Village,"A traditional settlement in the high hills of Kaski. Surrounded by dense forests and wildflowers.","Hiking|Gurung Culture|Nature|Local Food|Viewpoint",Oct-May,Low,Village|Nature|Remote|Culture,28.4012,84.0789
Khilang,Village,"A Gurung settlement near the northern mountains. Known for its traditional customs and mid-hill farming.","Gurung Culture|Traditional Houses|Hiking|Nature|Local Food",Oct-May,Low,Gurung|Heritage|Remote|Nature,28.3912,84.0912
Saimarang,Village,"A rural village in eastern Kaski. Provides views of the Lamjung Himal and regional hill traditions.","Hiking|Local Culture|Viewpoint|Nature|Village Walk",All Year,Low,Village|Nature|Quiet|Culture,28.2789,84.1678
Majhthana,Village,"A hilly settlement southeast of Pokhara. Represents the semi-rural character of the valley's surrounding hills.","Hiking|Viewpoint|Local Shops|Road Access|Nature",All Year,Low,Village|Nature|Roadside|Hills,28.2123,84.1890
Thumakodada,Viewpoint,"A hilltop village overlooking the river valley. Offbeat destination for natural vistas and solitude.","Viewpoint|Hiking|Nature|Quiet|Photography",Oct-May,Low,Nature|Quiet|View|Hills,28.2456,84.1345
Nirmalpokhari,Village,"A ridge village south of Pokhara known for orange orchards. Offers mountain views across the valley.","Orange Orchards|Viewpoint|Village Walk|Nature|Local Food",Oct-Mar,Low,Agriculture|View|Nature|Village,28.1567,83.9890
Bharatpokhari,Village,"A hilly village representing the transition to rural life. Known for agriculture and local hill paths.","Village Walk|Nature|Viewpoint|Road Access|Local Shops",All Year,Low,Village|Nature|Quiet|Hills,28.1345,84.0123
Puranchaur,Village,"A village on the valley floor northeast of city. Hub for regional agricultural research and foothill trails.","Village Walk|Nature|Hiking|Local Food|Road Access",All Year,Low,Village|Agriculture|Nature|Quiet,28.2912,83.9890
Lahachok,Village,"A multi-ethnic village in the Mardi valley. Known for traditional farming and its role as a trailhead for hill treks.","Trailhead|Agriculture|Local Food|Viewpoint|Nature",All Year,Low,Village|Nature|Hiking|Agriculture,28.3123,83.9123
